Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",3,3.91,Bantam Classics,Mass Market Paperback,201,1972,1915,,2019/01/25,,,read,,,,1,0
19117,Fathers and Sons,Ivan Turgenev,"Turgenev, Ivan","Jane Costlow, George Reavy","=""""","=""""",0,4.00,Signet,Mass Market Paperback,244,2005,1862,,2019/05/09,,,read,,,,1,0
2179336,The Secret Sharer,Joseph Conrad,"Conrad, Joseph",,"=""1599869004""","=""9781599869001""",4,3.63,FQ Publishing,Paperback,64,2007,1910,,2012/06/07,classics,classics (#5),read,,,,1,0
106931,I Heard the Owl Call My Name,Margaret Craven,"Craven, Margaret",,"=""1550413392""","=""9781550413397""",5,4.05,Fitzhenry & Whiteside Ltd,Paperback,145,2005,1967,,2019/02/05,literary-fiction,literary-fiction (#14),read,,,,1,0
23346759,Truckers (Bromeliad Trilogy #1),Terry Pratchett,"Pratchett, Terry",Mark   Beech,"=""0552573337""","=""9780552573337""",3,3.96,Corgi,Paperback,320,2015,1989,2019/01/31,2019/01/30,sci-fi,sci-fi (#4),read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.38,Atria Books,Hardcover,337,2014,2012,2019/01/25,2019/01/22,fiction,fiction (#22),read,,,,1,0
35297339,Asymmetry,Lisa Halliday,"Halliday, Lisa",,"=""150116676X""","=""9781501166761""",4,3.42,Simon & Schuster,Hardcover,277,2018,2018,2019/01/08,2019/01/05,literary-fiction,literary-fiction (#13),read,,,,1,0
5113,Franny and Zooey,J.D. Salinger,"Salinger, J.D.",,"=""0316769029""","=""9780316769020""",3,3.96,Back Bay Books,Paperback,201,2001,1957,2019/01/20,2019/01/22,fiction,fiction (#21),read,,,,1,0
14548666,A Room of One's Own,Virginia Woolf,"Woolf, Virginia",,"=""1614272778""","=""9781614272779""",4,4.22,Lightning Source Inc,Paperback,114,2012,1929,1992/01/01,2019/01/22,feminist,feminist (#6),read,,,,1,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",5,4.18,Vintage,Paperback,746,1989,1949,1992/01/01,2019/01/22,feminist,feminist (#5),read,,,,1,0
2926203,The Creation of Patriarchy (Women and History),Gerda Lerner,"Lerner, Gerda",,"=""0195039963""","=""9780195039962""",4,4.37,Oxford University Press,Hardcover,368,1986,1986,1992/01/01,2019/01/22,feminist,feminist (#2),read,,,,1,0
1596708,Herland,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""0394503880""","=""9780394503882""",2,3.48,Pantheon Books,Hardcover,,1979,1915,1992/01/01,2019/01/22,feminist,feminist (#3),read,,,,1,0
499351,The Female Experience: An American Documentary,Gerda Lerner,"Lerner, Gerda",,"=""0195072588""","=""9780195072587""",4,4.43,Oxford University Press,Paperback,560,1992,1977,1992/01/01,2019/01/22,feminist,feminist (#4),read,,,,1,0
31244,Our Mutual Friend,Charles Dickens,"Dickens, Charles",Richard Gaughan,"=""0375761144""","=""9780375761140""",4,4.09,Modern Library,Paperback,801,2002,1865,2019/01/01,2019/01/08,classics,classics (#21),read,,,,1,0
5797,Vanity Fair,William Makepeace Thackeray,"Thackeray, William Makepeace",John Carey,"=""0141439831""","=""9780141439839""",3,3.81,Penguin Books,Paperback,867,2003,1847,2018/12/01,2019/01/08,classics,classics (#20),read,,,,1,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",2,4.05,Penguin Books,Paperback,474,2003,1815,2019/01/01,2019/01/08,classics,classics (#19),read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",5,4.16,Penguin,Paperback,532,2003,1847,2018/10/01,2019/01/08,classics,classics (#18),read,,,,1,0
